,id,age,workclass,fnlwgt,education,education-num
18041,109,58,Private,182123,HS-grad,9
21666,110,18,,42293,10th,6
20980,111,30,Private,111415,Bachelors,13
8490,112,38,Self-emp-inc,275223,Bachelors,13
6122,113,18,Private,71792,HS-grad,9
5440,114,35,,476573,HS-grad,9
5367,115,17,Private,327434,10th,6
31923,116,55,Federal-gov,113398,Some-college,10
2343,117,21,Private,191460,11th,7
9263,118,26,Federal-gov,211596,Masters,14
28334,119,56,Private,200316,Some-college,10
18901,120,30,Private,130369,Assoc-voc,11
30552,121,39,Private,106347,HS-grad,9
12046,122,30,Private,233980,11th,7
12270,123,53,Private,224894,5th-6th,3
3389,124,51,Private,293196,Doctorate,16
27343,125,30,Private,295010,HS-grad,9
28094,126,34,Self-emp-inc,62396,Bachelors,13
15307,127,39,Private,237943,HS-grad,9
12455,128,56,Private,98809,7th-8th,4
29840,129,43,Self-emp-inc,33729,Bachelors,13
30168,130,32,Private,178623,Assoc-acdm,12
25035,131,49,Self-emp-not-inc,175622,Bachelors,13
26394,132,46,Local-gov,359193,Some-college,10
31983,133,34,Private,127195,Some-college,10
20388,134,38,Self-emp-not-inc,29430,Some-college,10
16061,135,30,Private,340917,HS-grad,9
8752,136,31,Local-gov,158092,Some-college,10
31431,137,59,Self-emp-not-inc,114760,Some-college,10
11653,138,29,Private,232784,Assoc-acdm,12
18899,139,58,Self-emp-not-inc,196403,HS-grad,9
7356,140,44,Local-gov,254134,Assoc-acdm,12
5477,141,19,State-gov,156294,Some-college,10
10438,142,24,Self-emp-inc,142404,Bachelors,13
31836,143,80,,281768,Assoc-acdm,12
3970,144,44,State-gov,296326,Bachelors,13
18598,145,46,Self-emp-not-inc,366089,Prof-school,15
11325,146,50,Self-emp-not-inc,312477,HS-grad,9
8218,147,65,Private,149811,HS-grad,9
21544,148,25,Self-emp-not-inc,113948,Assoc-voc,11
2316,149,41,Private,110562,Bachelors,13
13525,150,19,,112780,Some-college,10
26554,151,35,Private,206951,Some-college,10
14799,152,35,Private,222868,HS-grad,9
15933,153,65,Private,185001,10th,6
6540,154,21,Private,203924,Some-college,10
7018,155,38,Private,342448,Some-college,10
23426,156,55,Self-emp-not-inc,278228,10th,6
10832,157,24,Private,341368,HS-grad,9
31683,158,18,Private,240543,11th,7
17429,159,46,Private,268022,Bachelors,13
22482,160,40,Private,164678,Assoc-acdm,12
16607,161,40,Private,240504,Bachelors,13
4321,162,32,Private,80058,HS-grad,9
11276,163,24,Private,173736,Assoc-voc,11
14038,164,42,Local-gov,70655,HS-grad,9
31917,165,46,Private,117605,9th,5
7287,166,35,Private,164526,HS-grad,9
29361,167,46,Private,164427,HS-grad,9
18362,168,22,,287988,Some-college,10
22168,169,21,Private,206008,Some-college,10
30271,170,41,State-gov,100800,Masters,14
13612,171,27,Private,289147,HS-grad,9
9133,172,20,State-gov,41103,Some-college,10
4286,173,32,Private,175413,HS-grad,9
32432,174,36,Private,208068,Preschool,1
32408,175,30,Private,205152,Bachelors,13
2981,176,22,Private,201729,9th,5
23561,177,35,Private,403037,HS-grad,9
2710,178,50,Private,92079,Some-college,10
1049,179,36,Private,156667,Bachelors,13
20134,180,39,Private,173476,Prof-school,15
1906,181,45,Local-gov,339681,Masters,14
15607,182,21,Private,195532,HS-grad,9
1781,183,37,Private,272950,HS-grad,9
9350,184,51,State-gov,77905,Assoc-voc,11
8263,185,52,Private,213209,Some-college,10
7136,186,25,,219987,Assoc-acdm,12
26643,187,40,Local-gov,202872,Masters,14
9158,188,23,Private,235894,11th,7
29387,189,22,Private,109815,Some-college,10
25471,190,43,Private,117158,Some-college,10
30010,191,47,Private,228583,Some-college,10
27332,192,46,Private,389843,Bachelors,13
6102,193,18,Self-emp-inc,38307,11th,7
1110,194,35,Self-emp-inc,289430,Masters,14
5027,195,33,Federal-gov,348491,Some-college,10
2429,196,36,Self-emp-not-inc,295127,HS-grad,9
23549,197,54,State-gov,166774,Masters,14
15472,198,71,Local-gov,229110,HS-grad,9
15068,199,30,Local-gov,181372,Bachelors,13
7589,200,46,Local-gov,202560,Bachelors,13
23662,201,37,Private,234807,HS-grad,9
12053,202,36,Private,182074,Some-college,10
5390,203,31,Private,147215,12th,8
97,204,37,Private,202683,Some-college,10
22171,205,43,Private,27766,Bachelors,13
924,206,64,,29825,HS-grad,9
14971,207,36,Private,108103,HS-grad,9
6342,208,70,,293076,Some-college,10
32412,209,61,Private,149620,Some-college,10
12664,210,28,Self-emp-inc,80158,HS-grad,9
28539,211,27,Private,279960,HS-grad,9
21960,212,55,Private,255364,Some-college,10
18933,213,32,Private,257068,Some-college,10
15708,214,49,Self-emp-inc,94606,Doctorate,16
30936,215,54,Private,154949,11th,7
19153,216,34,,133278,12th,8
11579,217,31,Private,87560,Some-college,10
32201,218,49,,113913,HS-grad,9
4747,219,42,Private,107762,Masters,14
21991,220,35,Private,434114,HS-grad,9
11875,221,63,Self-emp-not-inc,106551,HS-grad,9
16097,222,45,Private,102076,Some-college,10
24813,223,73,,135601,Bachelors,13
13839,224,47,Private,168211,HS-grad,9
19232,225,32,Private,54782,Some-college,10
15101,226,51,Self-emp-not-inc,276456,Assoc-acdm,12
1539,227,35,Private,265954,HS-grad,9
17604,228,38,Self-emp-not-inc,77820,HS-grad,9
25107,229,43,State-gov,206927,HS-grad,9
29265,230,36,Private,148581,HS-grad,9
24529,231,48,Private,176732,9th,5
15167,232,45,Private,166636,HS-grad,9
5554,233,58,Private,127264,10th,6
3729,234,28,Local-gov,25864,HS-grad,9
7408,235,48,Private,141483,Some-college,10
6842,236,41,Private,51506,HS-grad,9
11194,237,17,Private,244589,11th,7
30265,238,32,Private,161075,HS-grad,9
7202,239,63,Self-emp-not-inc,35021,Bachelors,13
27087,240,32,Local-gov,230912,Masters,14
23826,241,28,Private,114158,Bachelors,13
7008,242,49,Private,215389,Bachelors,13
32063,243,30,Private,176410,Assoc-voc,11
3994,244,35,Private,95551,HS-grad,9
6573,245,42,Self-emp-inc,119281,Bachelors,13
31654,246,54,Local-gov,224934,Masters,14
7428,247,34,Private,434292,HS-grad,9
29716,248,47,Private,106255,Some-college,10
29067,249,23,Private,214120,HS-grad,9
11700,250,38,Private,272671,Bachelors,13
573,251,37,Private,22463,Assoc-voc,11
6767,252,57,Private,176079,HS-grad,9
21833,253,46,Private,201699,HS-grad,9
24430,254,38,Private,193372,Some-college,10
24325,255,19,Private,198459,HS-grad,9
6582,256,35,Self-emp-not-inc,120066,Some-college,10
11405,257,17,Private,176017,10th,6
3571,258,58,Private,519006,HS-grad,9
1486,259,30,Private,57651,HS-grad,9
30191,260,69,Self-emp-not-inc,92472,10th,6
765,261,32,Private,283268,10th,6
19224,262,25,Private,521400,5th-6th,3
4338,263,34,Self-emp-inc,186824,Prof-school,15
10742,264,37,Private,231180,HS-grad,9
20815,265,39,Private,101020,12th,8
25164,266,20,Private,47541,Some-college,10
16799,267,29,Private,198825,HS-grad,9
27074,268,42,Local-gov,255847,HS-grad,9
11110,269,40,Private,45687,Some-college,10
31244,270,40,Private,100292,HS-grad,9
13603,271,18,Self-emp-not-inc,296090,HS-grad,9
1115,272,60,Self-emp-inc,226355,Assoc-voc,11
19783,273,55,Private,178644,9th,5
21460,274,18,Private,154089,11th,7
28034,275,33,Private,362747,Some-college,10
6329,276,25,Private,25249,Some-college,10
31652,277,40,Private,132222,Some-college,10
6630,278,20,Private,227554,Some-college,10
12286,279,35,Private,125933,Bachelors,13
2380,280,23,,148751,Some-college,10
11199,281,38,State-gov,341643,Assoc-acdm,12
29644,282,46,Private,148995,HS-grad,9
20479,283,64,Self-emp-not-inc,352712,Assoc-voc,11
10975,284,29,Private,262478,HS-grad,9
26977,285,73,Private,148003,Some-college,10
29619,286,44,Private,235786,Some-college,10
12446,287,28,Self-emp-inc,113870,Bachelors,13
26560,288,74,Self-emp-inc,167537,Some-college,10
4197,289,51,Federal-gov,45334,Some-college,10
8563,290,28,Private,194690,7th-8th,4
19186,291,23,Private,234460,7th-8th,4
14929,292,47,Private,280798,Some-college,10
18580,293,28,Private,138269,HS-grad,9
29050,294,19,Private,292511,Some-college,10
26577,295,35,Private,219546,Some-college,10
26036,296,38,Self-emp-not-inc,127772,HS-grad,9
22400,297,26,Private,375980,HS-grad,9
28193,298,21,Private,377931,Some-college,10
26810,299,49,State-gov,207120,HS-grad,9
30487,300,61,Private,142922,HS-grad,9
1274,301,20,Private,232577,Some-college,10
26707,302,53,Private,33304,Some-college,10
21358,303,48,Private,190072,Some-college,10
5248,304,29,Self-emp-not-inc,164607,HS-grad,9
14063,305,36,Private,232874,Bachelors,13
26714,306,27,Federal-gov,257124,Bachelors,13
26997,307,22,Private,243178,Bachelors,13
12068,308,18,,137363,Some-college,10
31406,309,29,Private,144592,Prof-school,15
23824,310,35,Private,385847,Some-college,10
13174,311,29,Private,179498,HS-grad,9
28347,312,44,Federal-gov,192771,HS-grad,9
29097,313,68,,141181,9th,5
29945,314,37,Federal-gov,160910,HS-grad,9
15148,315,17,Private,34019,11th,7
31215,316,49,Private,452402,Some-college,10
14815,317,36,Self-emp-not-inc,186035,Prof-school,15
16329,318,20,Private,243878,Some-college,10
26301,319,42,Private,211517,11th,7
11802,320,35,Private,22055,Some-college,10
5948,321,39,Private,327435,Bachelors,13
30998,322,30,Private,207172,Bachelors,13
7600,323,25,Private,112847,HS-grad,9
20652,324,32,Federal-gov,115066,HS-grad,9
9541,325,39,Local-gov,98587,Some-college,10
25795,326,62,Private,176811,HS-grad,9
23006,327,40,Private,200479,Assoc-voc,11
592,328,60,Private,39352,7th-8th,4
3956,329,42,Private,44121,Masters,14
17130,330,59,Private,165922,Bachelors,13
31581,331,27,Private,278720,HS-grad,9
19368,332,50,Self-emp-not-inc,163948,HS-grad,9
18386,333,66,,196736,1st-4th,2
24002,334,41,Private,152636,HS-grad,9
4214,335,41,Self-emp-not-inc,190290,HS-grad,9
1270,336,47,Private,200734,Bachelors,13
8285,337,56,Self-emp-not-inc,249368,HS-grad,9
25002,338,46,Private,98350,10th,6
1888,339,22,Self-emp-not-inc,143062,HS-grad,9
1813,340,22,Private,311764,11th,7
16067,341,60,Private,184242,HS-grad,9
185,342,34,Private,304030,HS-grad,9
31305,343,46,Private,195023,HS-grad,9
27000,344,35,Private,233786,11th,7
4326,345,64,Private,164204,1st-4th,2
27593,346,31,Self-emp-not-inc,369648,Assoc-acdm,12
21228,347,41,Private,190885,HS-grad,9
10787,348,76,Private,116202,HS-grad,9
2789,349,44,Self-emp-inc,133060,Some-college,10
27165,350,45,Federal-gov,179638,Masters,14
2862,351,25,Private,98281,12th,8
13305,352,22,Private,433669,Assoc-acdm,12
21719,353,30,Private,26543,Bachelors,13
10180,354,17,Private,297246,11th,7
22309,355,30,State-gov,218640,Some-college,10
29844,356,25,Private,111243,HS-grad,9
19932,357,39,Private,119272,10th,6
18527,358,48,State-gov,31141,Some-college,10
27775,359,57,Private,103540,5th-6th,3
19206,360,17,Private,183066,10th,6
18354,361,45,Private,101825,HS-grad,9
16646,362,21,Private,159567,HS-grad,9
22270,363,19,Private,216937,HS-grad,9
9203,364,21,Private,197182,Assoc-acdm,12
11803,365,41,Local-gov,176716,HS-grad,9
7689,366,33,Self-emp-not-inc,38223,HS-grad,9
30012,367,35,Private,108140,Bachelors,13
11373,368,44,Private,145441,Bachelors,13
21994,369,26,Private,335533,HS-grad,9
22489,370,37,Self-emp-not-inc,203828,HS-grad,9
11665,371,29,Private,196116,Prof-school,15
12729,372,25,Private,102476,Bachelors,13
19112,373,71,Self-emp-not-inc,130436,1st-4th,2
19187,374,66,Private,196674,Bachelors,13
15702,375,18,Private,144711,HS-grad,9
10337,376,54,Private,311020,HS-grad,9
3767,377,37,Local-gov,244341,Some-college,10
12323,378,30,Federal-gov,356689,Bachelors,13
17583,379,49,Private,169042,HS-grad,9
10463,380,41,Private,210259,Some-college,10
26927,381,19,Private,175083,HS-grad,9
10748,382,35,Private,33975,Assoc-acdm,12
30942,383,19,Private,207173,HS-grad,9
22911,384,30,Self-emp-inc,84119,Bachelors,13
30613,385,18,Private,128538,11th,7
7212,386,31,Private,318647,11th,7
11412,387,33,Private,98995,10th,6
20189,388,22,Private,317528,Some-college,10
29814,389,55,,193895,7th-8th,4
24357,390,26,Private,94392,11th,7
31754,391,26,State-gov,326033,Bachelors,13
12704,392,41,Federal-gov,214838,Masters,14
4990,393,33,Self-emp-not-inc,118267,Assoc-acdm,12
30669,394,41,Self-emp-inc,177905,Bachelors,13
11805,395,24,Private,100321,Some-college,10
14991,396,39,Self-emp-inc,336226,HS-grad,9
18079,397,22,Private,228752,HS-grad,9
25718,398,53,Local-gov,131258,Prof-school,15
13583,399,34,Self-emp-inc,79586,Bachelors,13
22020,400,42,Local-gov,281315,Bachelors,13
30261,401,20,Private,117222,Some-college,10
6929,402,24,Private,104146,Bachelors,13
32197,403,22,State-gov,24395,Some-college,10
30150,404,22,Private,210781,Bachelors,13
17445,405,44,Private,317535,1st-4th,2
19047,406,38,Private,197711,10th,6
17373,407,28,Private,232653,Bachelors,13
15604,408,50,Private,124963,Bachelors,13
3291,409,74,,29866,7th-8th,4
30354,410,35,Private,22463,HS-grad,9
6372,411,57,Private,174353,HS-grad,9
15106,412,51,Private,107123,7th-8th,4
1876,413,44,Private,144778,Some-college,10
23528,414,72,Federal-gov,217864,HS-grad,9
13267,415,32,Private,188246,Some-college,10
21598,416,24,Private,291407,HS-grad,9
21319,417,29,Private,46987,HS-grad,9
8277,418,43,Private,209149,HS-grad,9
3649,419,21,Private,143062,Some-college,10
7528,420,56,Private,85018,HS-grad,9
11789,421,26,Private,57600,Bachelors,13
12415,422,22,Private,347867,HS-grad,9
9991,423,55,State-gov,337599,Some-college,10
30413,424,45,Private,362883,Some-college,10
29356,425,52,Self-emp-not-inc,138611,HS-grad,9
19397,426,46,Private,109227,Some-college,10
22537,427,45,Private,165484,Doctorate,16
7257,428,40,Self-emp-not-inc,55363,HS-grad,9
13896,429,55,Private,182460,HS-grad,9
21604,430,38,Local-gov,331609,Some-college,10
21108,431,30,Private,158200,Prof-school,15
19521,432,20,Private,203027,HS-grad,9
29088,433,38,Private,160808,HS-grad,9
24592,434,32,Private,209317,HS-grad,9
15411,435,47,Local-gov,352614,Assoc-acdm,12
763,436,53,Self-emp-inc,128272,Doctorate,16
30097,437,28,Private,407043,HS-grad,9
16732,438,32,Private,462255,Bachelors,13
13733,439,48,Local-gov,493862,HS-grad,9
28697,440,71,Private,97870,Masters,14
7938,441,21,Private,117210,HS-grad,9
31569,442,46,Self-emp-not-inc,165754,Doctorate,16
19746,443,41,Private,140886,HS-grad,9
3864,444,50,State-gov,229272,HS-grad,9
27385,445,42,Private,384508,11th,7
17057,446,45,Private,289468,11th,7
24010,447,42,Self-emp-inc,120277,Masters,14
24767,448,51,Private,131068,HS-grad,9
13557,449,57,Private,158077,Bachelors,13
32514,450,40,Private,142657,Assoc-voc,11
3406,451,31,Private,197023,Assoc-voc,11
12012,452,32,Federal-gov,164707,HS-grad,9
17279,453,32,,335427,Bachelors,13
22055,454,39,Private,193260,Some-college,10
1934,455,25,Private,169990,HS-grad,9
20027,456,40,Private,105936,Bachelors,13
6224,457,52,Local-gov,74784,Masters,14
21697,458,26,Private,58371,HS-grad,9
5443,459,33,Private,214635,HS-grad,9
2273,460,41,Private,118853,Some-college,10
4649,461,48,Private,398843,Some-college,10
17914,462,33,Local-gov,242150,Assoc-voc,11
2855,463,33,Private,149220,Assoc-voc,11
27878,464,38,Federal-gov,261241,Some-college,10
31214,465,21,Private,228395,Some-college,10
15076,466,20,Private,184678,HS-grad,9
31565,467,52,Private,256861,Bachelors,13
1842,468,38,Private,31603,Bachelors,13
9153,469,28,Private,309566,HS-grad,9
27727,470,41,Private,37997,12th,8
14280,471,21,,145964,Some-college,10
16818,472,55,State-gov,153451,HS-grad,9
8052,473,55,Private,259532,7th-8th,4
30291,474,19,Private,355477,HS-grad,9
15541,475,48,Self-emp-inc,238966,Some-college,10
17721,476,69,Local-gov,286983,Some-college,10
371,477,17,Private,89821,11th,7
7828,478,46,Private,124071,Masters,14
3537,479,81,Self-emp-not-inc,137018,HS-grad,9
29936,480,29,Private,157308,11th,7
2246,481,58,Self-emp-not-inc,164065,Masters,14
12804,482,51,Private,133336,HS-grad,9
11927,483,36,Local-gov,175255,HS-grad,9
27852,484,24,Private,223367,11th,7
943,485,18,Private,293227,HS-grad,9
18493,486,47,Private,195978,HS-grad,9
11952,487,43,Self-emp-not-inc,174090,HS-grad,9
32559,488,22,Private,201490,HS-grad,9
8212,489,32,Private,73621,Some-college,10
29700,490,37,Private,34146,HS-grad,9
20645,491,44,Private,320984,Bachelors,13
28730,492,55,Private,41108,Some-college,10
18571,493,53,Private,89587,Some-college,10
11188,494,50,Private,135643,HS-grad,9
6841,495,35,Self-emp-not-inc,140854,HS-grad,9
27638,496,26,Local-gov,159662,10th,6
19115,497,45,Private,127738,Some-college,10
10052,498,61,Private,193479,HS-grad,9
6978,499,24,Self-emp-not-inc,191954,7th-8th,4
26049,500,21,Private,216129,HS-grad,9
26485,501,45,Private,128378,HS-grad,9
10778,502,24,Private,142022,Some-college,10
13431,503,34,Private,191385,HS-grad,9
25933,504,38,Private,102945,Bachelors,13
8220,505,48,Private,125120,Some-college,10
13784,506,73,,191394,Prof-school,15
15382,507,51,Private,108435,Masters,14
32038,508,52,Private,294991,Bachelors,13
14638,509,41,Private,220460,Assoc-acdm,12
16821,510,31,Private,169583,HS-grad,9
25394,511,36,Private,337039,Assoc-acdm,12
14509,512,34,Private,281852,HS-grad,9
10292,513,18,Private,27620,HS-grad,9
2063,514,42,Local-gov,111252,Masters,14
28830,515,44,Private,183342,Prof-school,15
11893,516,41,Private,49797,Some-college,10
12016,517,45,Self-emp-inc,145290,HS-grad,9
14557,518,22,Private,359759,Some-college,10
9580,519,35,Federal-gov,35309,Bachelors,13
19308,520,35,Local-gov,195516,HS-grad,9
13508,521,51,State-gov,194475,Some-college,10
1250,522,51,Self-emp-inc,229465,Masters,14
25925,523,37,State-gov,482927,Some-college,10
3151,524,24,State-gov,177526,Bachelors,13
7016,525,41,Private,82393,Some-college,10
13030,526,54,Private,103700,HS-grad,9
14603,527,42,Self-emp-not-inc,177937,Bachelors,13
4003,528,23,,114357,Some-college,10
30369,529,20,,250037,Some-college,10
971,530,28,Private,161538,Bachelors,13
15869,531,57,Self-emp-not-inc,24473,Assoc-voc,11
20317,532,41,Private,144947,Bachelors,13
21788,533,20,Private,186830,HS-grad,9
18215,534,53,State-gov,151580,Assoc-voc,11
28588,535,63,Private,30270,7th-8th,4
233,536,33,Private,110978,Some-college,10
6105,537,37,Private,168475,HS-grad,9
11157,538,37,Private,117381,HS-grad,9
9916,539,37,Private,148581,HS-grad,9
24242,540,25,Private,110138,HS-grad,9
1675,541,43,Private,37937,Masters,14
18830,542,22,Private,157145,Assoc-voc,11
2805,543,18,Private,387568,10th,6
30357,544,41,Local-gov,134524,Assoc-voc,11
27938,545,25,Private,248990,5th-6th,3
21877,546,28,Private,250135,Some-college,10
24534,547,55,Local-gov,253062,Some-college,10
4732,548,23,Private,260019,7th-8th,4
21281,549,62,Self-emp-inc,56248,Bachelors,13
16660,550,26,Private,215384,Bachelors,13
28491,551,49,Private,116789,HS-grad,9
22478,552,40,Private,212847,Some-college,10
17185,553,22,Private,202871,Assoc-voc,11
5737,554,30,Private,174704,11th,7
21555,555,50,State-gov,78649,Some-college,10
13034,556,32,Private,281384,HS-grad,9
14555,557,19,Self-emp-not-inc,342384,11th,7
667,558,42,Private,247019,HS-grad,9
13427,559,44,Private,230478,Bachelors,13
25359,560,38,,94559,Bachelors,13
28560,561,64,Private,180247,7th-8th,4
15485,562,51,Self-emp-not-inc,103257,Prof-school,15
17277,563,36,Self-emp-not-inc,223789,Masters,14
3293,564,39,Self-emp-not-inc,68781,HS-grad,9
24581,565,35,Private,207568,10th,6
9209,566,22,Private,318915,HS-grad,9
26175,567,29,Federal-gov,182344,HS-grad,9
17095,568,47,Private,97419,HS-grad,9
8187,569,68,Private,224338,Assoc-voc,11
30189,570,64,Private,153894,Bachelors,13
10789,571,34,Private,133503,Some-college,10
29384,572,55,Private,189719,Bachelors,13
8153,573,42,Private,44402,Bachelors,13
19145,574,26,Private,164737,Some-college,10
22583,575,23,Private,178207,Some-college,10
507,576,43,Private,112131,Some-college,10
29883,577,29,Private,233168,Bachelors,13
3812,578,26,State-gov,70447,HS-grad,9
22791,579,39,Self-emp-inc,372525,Masters,14
8441,580,40,Private,169995,HS-grad,9
11570,581,17,Private,197732,11th,7
8236,582,42,Private,52781,Some-college,10
15164,583,39,Private,164898,HS-grad,9
23787,584,24,Private,117789,Bachelors,13
18444,585,39,Self-emp-not-inc,83242,Some-college,10
9776,586,36,Private,41490,Some-college,10
12572,587,56,Private,244605,HS-grad,9
24547,588,32,Private,90705,HS-grad,9
24179,589,24,Local-gov,126613,Bachelors,13
19907,590,23,State-gov,283499,HS-grad,9
24472,591,40,Private,137142,HS-grad,9
2214,592,64,Self-emp-not-inc,177825,HS-grad,9
13455,593,42,Private,187795,Some-college,10
23972,594,47,Private,365516,Masters,14
21226,595,47,Private,202812,Masters,14
7601,596,50,Private,110748,Some-college,10
19373,597,27,Private,203776,Assoc-acdm,12
22274,598,38,Private,301743,HS-grad,9
21360,599,41,Private,126622,11th,7
13926,600,43,Private,270522,HS-grad,9
3073,601,27,Private,229803,HS-grad,9
6964,602,29,Private,87507,Doctorate,16
1306,603,29,Private,256956,Assoc-voc,11
23241,604,19,Private,261259,HS-grad,9
12571,605,29,Private,108574,Assoc-voc,11
1824,606,51,Private,158948,HS-grad,9
570,607,24,Private,354351,HS-grad,9
6116,608,56,Private,204816,Some-college,10
22979,609,30,Private,170065,Some-college,10
25739,610,35,Self-emp-inc,79586,Masters,14
29499,611,36,Private,188972,Some-college,10
25356,612,45,Private,102308,Masters,14
14302,613,36,Private,184456,Prof-school,15
10928,614,23,Private,113466,HS-grad,9
16556,615,63,Self-emp-not-inc,179400,HS-grad,9
18804,616,31,Private,342730,Assoc-acdm,12
25138,617,24,Private,134787,Some-college,10
29563,618,33,Private,272411,Bachelors,13
13713,619,26,Private,142914,Assoc-acdm,12
24447,620,60,Federal-gov,129379,Some-college,10
20173,621,54,Local-gov,375134,Assoc-voc,11
6461,622,70,Local-gov,176493,Some-college,10
1399,623,50,Private,137815,HS-grad,9
27351,624,46,Private,157991,Assoc-voc,11
25929,625,44,,195488,12th,8
20949,626,36,Private,268292,HS-grad,9
9845,627,23,Private,45317,Some-college,10
18379,628,29,Private,173851,HS-grad,9
20877,629,48,,112860,10th,6
10623,630,38,State-gov,267540,Some-college,10
23126,631,40,Private,326232,Some-college,10
16343,632,43,Private,188436,Assoc-voc,11
22779,633,27,Private,221252,HS-grad,9
2019,634,23,Private,193089,11th,7
5288,635,32,Private,198068,HS-grad,9
6160,636,30,Private,162623,Bachelors,13
32096,637,25,Private,391192,Assoc-voc,11
31952,638,57,Private,317969,HS-grad,9
